미상원료,기존단가,기존원산지,추정공급사,신뢰도,단서종류,근거품목,근거출처,카탈로그원산지
칼슘(구연산),17000,미국,바른에프피,보통,거래처 카탈로그,어골칼슘,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,일본
칼슘(밀크칼슘),20000,뉴질랜드,바른에프피,보통,거래처 카탈로그,어골칼슘,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,일본
칼슘(밀크칼슘),17000,독일,바른에프피,보통,거래처 카탈로그,어골칼슘,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,일본
칼슘(산호),20000,미국,바른에프피,보통,거래처 카탈로그,어골칼슘,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,일본
칼슘(산호),24000,미국,바른에프피,보통,거래처 카탈로그,어골칼슘,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,일본
칼슘(어골),38000,미국,바른에프피,보통,거래처 카탈로그,어골칼슘,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,일본
칼슘(탄산),2500,일본,바른에프피,보통,거래처 카탈로그,어골칼슘,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,일본
칼슘(해조),9500,프랑스,바른에프피,보통,거래처 카탈로그,어골칼슘,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,일본
활성엽산,27500,이탈리아,바른에프피,보통,거래처 카탈로그,엽산,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,스위스
토코페롤(DA),93000,프랑스,바른에프피,보통,거래처 카탈로그,D-α-토코페롤,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,미국
토코페롤(포도씨유),6500,스페인,바른에프피,보통,거래처 카탈로그,D-α-토코페롤,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,미국
"유산균(고초균,당화균)(subtillus)",55000,,바른에프피,보통,거래처 카탈로그,사과박유산균,바른에프피 품목리스트(카무트글루텐분해효소 24.02.05).xlsx,국산
