미상원료,기존단가,기존원산지,추정공급사,신뢰도,단서종류,근거품목,근거출처,카탈로그원산지
초유분말,85000,미국,하이베이스,보통,거래처 카탈로그,초유,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
토마토추분말,15000,칠레,하이베이스,보통,거래처 카탈로그,토마토(라이코펜),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
파인애플추풀분말,85000,,하이베이스,보통,거래처 카탈로그,파인애플,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
함초분말,20500,국산,하이베이스,보통,거래처 카탈로그,함초,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
황금분말,14500,중국,하이베이스,보통,거래처 카탈로그,황금,247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
건조효모,630000,미국,하이베이스,보통,거래처 카탈로그,효모(MNY),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
건조효모,13500,에스토니아,하이베이스,보통,거래처 카탈로그,효모(MNY),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
복합효소,285000,국산,하이베이스,보통,거래처 카탈로그,효소(복합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
복합효소,145000,인도,하이베이스,보통,거래처 카탈로그,효소(복합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
효소분말(15곡),60000,,하이베이스,보통,거래처 카탈로그,효소(복합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
효소분말(6곡),55000,,하이베이스,보통,거래처 카탈로그,효소(복합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
효소분말(현미),60000,,하이베이스,보통,거래처 카탈로그,효소(복합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
효소분말(현미),52000,,하이베이스,보통,거래처 카탈로그,효소(복합),247-250쪽 3-1. 취급원료 목록-1(하이베이스).xlsx,
감초(원물),50000,국산,조은푸드텍,보통,거래처 카탈로그,감초엑스(55),조은푸드텍 제품리스트_230914.pdf,중국산
